영문공항명,한글공항명,공항코드1(IATA),공항코드2(ICAO),지역,영문국가명,한글국가명,영문도시명,도시명
Landvetter Airport ,란베터 공항,GOT,ESGG,유럽,Sweden,스웨덴,Gothenburg,예테보리
Langkawi Airport,랑카위 공항,LGK,WMKL,아시아,Malaysia,말레이시아,Langkawi,랑카위
Lankaran International Airport,스리랑카 국제공항,LLK,UBBL,아시아,Azerbaijan,아제르바이잔,Lankaran,란카란
Lann Bihoue Airport,란 비호웨 공항,LRT,LFRH,유럽,France,프랑스,Lorient,로리앙
Lansing Capital City Airport,랜싱 캐피탈시티 공항,LAN,KLAN,북미,United States,미국,Lansing MI,랜싱 MI
Lanyu Airport,란위 공항,KYD,RCLY,아시아,Chinese Taipei,대만,Lanyu ,라뉴
Lanzhou Airport,란저우 공항,LHW,ZLLL,아시아,Hong Kong,홍콩,Lanzhou,란저우
Laoag International Airport,라오그 국제공항,LAO,RPLI,아시아,Philippines,필리핀,Laoag,라오아그
Lappeenranta Airport,라펜란타 공항,LPP,EFLP,유럽,Finland,핀란드,Lappeenranta ,라펜란타
Larestan International Airport,라르스탄 국제공항,LRR,OISL,중동,Iran,이란,Larestan,라레스탄
Larnaca International Airport,라르나카 /라나카 국제공항,LCA,LCLK,유럽,Cyprus,키프러스,Larnaca,라르나카
Las America International Airport ,라스 아메리카 국제공항 ,SDQ,MDSD,중남미,Dominican Republic,도미니카공화국,Santo Domingo,산토도밍고
Las Bajadas Airport,라 바자다스 공항,VER,MMVR,중남미,Mexico,멕시코,Veracruz,베라크루스
Las Brujas Airport,라스 부루자스 공항,CZU,SKCZ,중남미,Colombia,콜롬비아,Corozal,코로잘
Las Higueras Airport,라스 히게라스 공항,RCU,SAOC,중남미,Argentina,아르헨티나,Rio Cuarto,리오 쿠아르토
Launceston Airport,론서스턴 공항,LST,YMLT,대양주,Australia,오스트레일리아,Launceston,런치스톤
Laval Entrammes Airport,라발 앙트램스 공항,LVA,LFOV,유럽,France,프랑스,Laval / Entrammes,라발 / 엔탐스
Laverton Airport,라버튼 공항,LTO,YLTN,중남미,Mexico,멕시코,Loreto,로레토
Lawas Airport,라와스 공항,LWY,WBGW,아시아,Malaysia,말레이시아,Lawas ,라와스
Lawica Airport,라위카 공항,POZ,EPPO,유럽,Poland,폴란드,Poznan,포즈난
Lawrence J. Timmerman Airport,로렌스 J. 팀머만 공항,MWC,KMWC,북미,United States,미국,Milwaukee WI,밀워키 WI
Le Bourget Airport,르부르제 공항,LBG,LFPB,유럽,France,프랑스,Paris / Le Bourget,파리 / 르 부르제
Le Castellet Airport,르캐스텔렛 공항,CTT,LFMQ,유럽,France,프랑스,Castellet,카스텔렛
Le Raizet Airport,르 레제 공항,PTP,TFFR,중남미,Guadeloupe,과들루프,Pointe-a-Pitre,Point-a-Pitre
Le Sequestre Airport,레 세퀘스트 공항,LBI,LFCI,유럽,France,프랑스,Albi / Le Sequestre,알비 / 르 세콰스트르
Le Touquet-Paris-Plage Airport,르투켓 공항,LTQ,LFAT,유럽,France,프랑스,Le Touquet,르 투케
Learmonth Airport / RAAF Base Learmonth ,리어먼스 공항,LEA,YPLM,대양주,Australia,오스트레일리아,Exmouth,엑스머스
Lech Watesa Airport,레히 바웨사 공항,GDN,EPGD,유럽,Poland,폴란드,Gdansk,그단스크
Leeds Bradford International Airport,리즈 브랫포드 국제공항,LBA,EGNM,유럽,United Kingdom,영국,Leeds,리즈
Legazpi Airport,레가스페 공항,LGP,RPLP,아시아,Philippines,필리핀,Legazpi City,레가스피 시
Leger Airport,레저 공항 ,CBH,DAOR,아프리카,Algeria,알제리,Bechar,베차르
Leh Air Force Base,레 공군기지,IXL,VILH,아시아,India,인도,Leh,리
Lehigh Valley International Airport,리하이 밸리 국제공항,ABE,KABE,북미,United States,미국,Allentown PA,앨런타운 PA
Leipzig/Halle Airport ,라이프치히/할레 지역공항,LEJ,EDDP,유럽,Germany,독일,Leipzig,라이프치히
Leirin Airport,레이린 공항 ,VDB,ENFG,유럽,Norway,노르웨이,Fagernes,파게네스
Leite Lopes Airport,라이테 로페즈 공항,RAO,SBRP,중남미,Brazil,브라질,Ribeirao Preto,리베이라오 프레토
Leknes Airport,레크네스 공항,LKN,ENLK,유럽,Norway,노르웨이,Leknes,레크네스
Lemnos International Airport,레노스 국제공항,LXS,LGLM,유럽,Greece,그리스,Limnos,림노스
Lennart Meri Tallinn Airport,레나르 메리 탈린 공항,TLL,EETN,유럽,Estonia,에스토니아,Tallinn,탈린
Lensk Airport,Lensk 공항,ULK,UERL,유럽,Russia,러시아,Lensk,렌즈크
Leon Airport,레온 공항,LEN,LELN,유럽,Spain,스페인,Leon,레온
Leon Mba Airport,레온 음바 공항,LBV,FOOL,아프리카,Gabon,가봉,Libreville,리브레빌
Leopold Sedar Senghor Airport,레오로드 세다르 셍고르 공항,DKR,GOOY,아프리카,Senegal,세네갈,Dakar,다카르
Leros Airport,레로스 공항,LRS,LGLE,유럽,Greece,그리스,Leros,레로스
Lerwick/Tingwall Airport,러윅 팅월 공항,LWK,EGET,유럽,United Kingdom,영국,Lerwick,러윅
Les Ajoncs Airport,레 아종크,EDM,LFRI,유럽,France,프랑스,La Roche-sur-Yon / Les Ajoncs,라 로슈쉬르욘 / 레 아종크
Les Angades Airport,레스 안가데스 공항,OUD,GMFO,아프리카,Morocco,모로코,Oujda,오우즈다
Les Bases Airport,레 바제 공항,GBJ,TFFM,중남미,Guadeloupe,과들루프,Marie-Galante,마리 갈란테
Les Saintes Airport,레 생테즈 공항,LSS,TFFS,중남미,Guadeloupe,과들루프,Tles des Saintes,텔레스 데 생트
Les Salines Airport ,레 살린 공항 ,AAE,DABB,아프리카,Algeria,알제리,Annaba,안나바
Lesquin Airport,레스킨 공항,LIL,LFQQ,유럽,France,프랑스,Lille,릴
Levaldigi Airport,레발디지 공항,CUF,LIMZ,유럽,Italy,이탈리아,Cuneo,쿠네오
Lewiston-Nez Perce County Airport,루이스턴 네즈 퍼스 카운티 공항,LWS,KLWS,북미,United States,미국,Lewiston ID,루이스턴 ID
Lhasa Gonggar Airport,라싸 공가 공항,LXA,ZULS,아시아,Hong Kong,홍콩,Lhasa,라싸
Lianyungang Airport,롄윈강 공항,LYG,ZSLG,아시아,Hong Kong,홍콩,Lianyungang,롄윈강
Libo Airport,Libo 공항,LLB,ZULB,아시아,Hong Kong,홍콩,Libo,리보
Lic. Jesus Teran Peredo International Airport,릭 지저스 테란 페러두 국제공항,AGU,MMAS,중남미,Mexico,멕시코,Aguascalientes,아궤스칼리엔테스
Lic. y Gen. Ignacio Lopez Rayon Airport,릭 y 제너럴 이그냐시오 로페즈 라온 공항,UPN,MMPN,중남미,Mexico,멕시코,Uruapan,우루아판
Licenciado Gustavo Dia Ordaz International,릭 구스타보 디아 오르다즈 공항,PVR,MMPR,중남미,Mexico,멕시코,Puerto Vallarta,푸에르토바야르타
Lichinga Airport,리칭가 공항,VXC,FQLC,아프리카,Mozambique,모잠비크,Lichinga,리칭가
Lie Manuel Crescencio Rejon Airport ,리에 마뉴엘 크레센시오 레종 공항 ,MID,MMMD,중남미,Mexico,멕시코,Merida,메리다
Liege Airport,리에주 공항,LGG,EBLG,유럽,Belgium,벨기에,Liege,리에주
Lienkhang Airport,리엥캥 공항,DLI,VVDL,아시아,Viet Nam,베트남,Dalat,달랏
Lihue Airport,리후에 공항,LIH,PHLI,북미,United States,미국,Lihue HI,리후에 HI
Lijiang Airport,리장 여강 공항,LJG,ZPLJ,아시아,Hong Kong,홍콩,Lijiang,리장
Lilabari Airport,릴라바리 공항,IXI,VELR,아시아,India,인도,Lakhimpur,라킴푸르 주
Lilongwe International Airport,릴롱궤 국제공항,LLW,FWKI,아프리카,Malawi,말라위,Lilongwe,릴롱궤
Limbang Airport,림방 공항,LMN,WBGJ,아시아,Malaysia,말레이시아,Limbang,임방
Limoges - Bellegarde Airport,리모주 벨가르드 공항,LIG,LFBL,유럽,France,프랑스,Limoges,리모주
Linate Airport ,리나테 공항 ,LIN,LIML,유럽,Italy,이탈리아,Milan,밀라노
Lincang Airport,린캉 공항,LNJ,ZPLC,아시아,Hong Kong,홍콩,Lincang,린창
Lincoln Municipal Airport,링컨 시공항,LNK,KLNK,북미,United States,미국,Lincoln NE,링컨 NE
Linfen Qiaoli Airport,Linfen Qiaoli 공항,LFQ,ZBLF,아시아,Hong Kong,홍콩,Linfen,린펜
Linkoping Airport,린셰핑 공항,LPI,ESSL,유럽,Sweden,스웨덴,Linkoping,링크핑
Linyi Shubuling Airport,린이슈불링 공항,LYI,ZSLY,아시아,Hong Kong,홍콩,Linxi,린시
Liping Airport,Liping 공항,HZH,ZUNP,아시아,Hong Kong,홍콩,Liping,리핑
Lisboa Airport,리즈보아 공항,LIS,LPPT,유럽,Portugal,포르투갈,Lisbon,리스본
Lismore Airport,리스모어 공항,LSY,YLIS,대양주,Australia,오스트레일리아,Lismore,리스모어
Little Rock National Airport ,리틀록 내셔널 공항,LIT,KLIT,북미,United States,미국,Little Rock AR,리틀록 AR
Liupanshui Yuezhao Airport,Liupanshui Yuezhao Airport,LPF,ZUPS,아시아,Hong Kong,홍콩,Liupanshui,류판수이
Liuzhou Airport,류저우 공항,LZH,ZGZH,아시아,Hong Kong,홍콩,Liuzhou,류저우
Livingstone Airport,리빙스턴 공항,LVI,FLLI,아프리카,Zambia,잠비아,Livingstone,리빙스톤
Loakan Airport,로아칸 공항,BAG,RPUB,아시아,Philippines,필리핀,Baguio,바기오
Lockhart River Airport,락하트리버스 공항,IRG,YLHR,대양주,Australia,오스트레일리아,Lockhart River,록하트 강
Loei Airport,로에이 공항,LOE,VTUL,아시아,Thailand,태국,Loei,레이
Logan International Airport,로건 국제공항,BOS,KBOS,북미,United States,미국,Boston MA,보스턴 MA
Lognes Emerainville Airport,노뉴스 에머랭빌 공항,XLG,LFPL,유럽,France,프랑스,Lognes / Emerainville,로네스 / 에메라인빌
Lohegaon Airport,로헤가온 공항,PNQ,VAPO,아시아,India,인도,Pune,푸네
Lok Nayak Jaya Prakash Narayan Airport ,록 나약 자야 프라카쉬 나라얀 공항 ,PAT,VEPT,아시아,India,인도,Patna,파트나
Lombok International Airport,롬복 국제공항,LOP,WADL,아시아,Indonesia,인도네시아,Lombok,롬복
Lome-Tokoin Airport,로메 토쿠완 공항,LFW,DXXX,아프리카,Togo,토고,Lome,로메
London City Airport,런던 시티 공항,LCY,EGLC,유럽,United Kingdom,영국,London,런던
London International Airport,런던 국제공항,YXU,CYXU,북미,Canada,캐나다,London ON,런던 ON
Londrina Airport,론드리나 공항,LDB,SBLO,중남미,Brazil,브라질,Londrina,론드리나
Long Akah Airport,롱 아카 공항,LKH,WBGL,아시아,Malaysia,말레이시아,Long Akah ,롱아카
Long Beach Municipal Airport,롱비치 시공항 ,LGB,KLGB,북미,United States,미국,Long Beach CA,롱비치 CA
Long Lellang Airport,롱 렐랑 공항,LGL,WBGF,아시아,Malaysia,말레이시아,Long Lellang ,롱렐랑
Long Seridan Airport,롱 세리단 공항,ODN,WBGI,아시아,Malaysia,말레이시아,Long Seridan ,롱세리단
Longnan Chengzhou Airport,롱난 청 저우 공항,LNL,ZLLN,아시아,Hong Kong,홍콩,Longnan,룽난
Longreach Airport,롱리치 공항,LRE,YLRE,대양주,Australia,오스트레일리아,Longreach,롱리치
Longyan Guanzhishan Airport,롱 얀관 지산 공항,LCX,ZSLD,아시아,Hong Kong,홍콩,Liancheng,롄청 현
Lord Howe Island Airport,로드호바아일랜드 공항,LDH,YLHI,대양주,Australia,오스트레일리아,Lord Howe Island,로드 하우 섬
Los Angeles International Airport,로스앤젤레스 국제공항,LAX,KLAX,북미,United States,미국,Los Angeles CA,로스앤젤레스 CA
Los Cabos Airport,로스 카보 공항,SJD,MMSD,중남미,Mexico,멕시코,San Jose Del Cabo,산호세 델 카보
Los Colonizadores Airport,로스 콜로니자도레스 공항,RVE,SKSA,중남미,Colombia,콜롬비아,Saravena,사라베나
Loudes Airport,로드 공항,LPY,LFHP,유럽,France,프랑스,Le Puy-en-Velay,르푸앵벨레
Louis Armstrong International Airport,루이 암스트롱 국제공항 ,MSY,KMSY,북미,United States,미국,New Orleans LA,뉴올리언스 LA
Lozuvatka Airport,루주바크타 공항,KWG,UKDR,유럽,Ukraine,우크라이나,Krivoy Rog,크리보이 로그
Lubang Airport,루방 공항,LBX,RPLU,아시아,Philippines,필리핀,Lubang Island,루방 섬
Lublin Airport,루블린 공항,LUZ,EPLB,유럽,Poland,폴란드,Lublin,루블린
Ludao Airport,루다오 공항,GNI,RCG,아시아,Chinese Taipei,대만,Ludao ,뤼다오
Luderitz Airport,루데리츠 공항,LUD,FYLZ,아프리카,Namibia,나미비아,Luderitz,루데리츠
Lugano Airport,루가노 공항,LUG,LSZA,유럽,Switzerland,스위스,Lugano,루가노
Luis E. Magalhaes Airport,루이즈 E. 마갈헤즈 공항,SSA,SBSV,중남미,Brazil,브라질,Salvador,살바도르
Luiz Munoz Marin International Airport,루이즈 뮈노스 마랭 국제공항,SJU,TJSJ,중남미,Puerto Rico,푸에르토리코,San Juan,산후안
Luliang Airport,뤼리앙 공항,LLV,ZBLL,아시아,Hong Kong,홍콩,Luliang,루량
Lumbia Airport,룸비아 공항,CGY,RPML,아시아,Philippines,필리핀,Cagayan de Oro,카가얀 데 오로
Lungi International Airport,런자이 국제공항,FNA,GFLL,아프리카,Sierra Leone,시에라리온,Freetown,프리타운
Luoyang Airport,뤄양 공항,LYA,ZHLY,아시아,Hong Kong,홍콩,Luoyang,뤄양
Lusaka International Airport,루사카 국제공항,LUN,FLKK,아프리카,Zambia,잠비아,Lusaka,루사카
Luton Airport,루톤 공항,LTN,EGGW,유럽,United Kingdom,영국,London,런던
Luxembourg International Airport ,뤽상부르 국제공항 ,LUX,ELLX,유럽,Luxembourg,룩셈부르크,Luxembourg,룩셈부르크
Luxor Airport,룩소르 공항,LXR,HELX,아프리카,Egypt,이집트,Luxor,룩소르
Luzhou Lantian Airport,루저우랜티안 공항,LZO,ZULZ,아시아,Hong Kong,홍콩,Luzhou,루저우
Lycksele Airport,뤽셀레 공항,LYC,ESNL,유럽,Sweden,스웨덴,Lycksele,릭셀
Lydd International Airport,리드 국제공항,LYX,EGMD,유럽,United Kingdom,영국,Lydd,리드
Lyon Bron Airport,리옹 브롱 공항,LYN,LFLY,유럽,France,프랑스,Lyon,리옹
Maastricht Aachen Airport,마스트리히트 아흐츤 공항,MST,EHBK,유럽,Netherlands,네덜란드,Maastricht,마스트리히트
Macae Airport,마카에 공항,MEA,SBME,중남미,Brazil,브라질,Macae,마카에
Macao International Airport,마카오 국제공항,MFM,VMMC,아시아,Macao,마카오,Macau,마카오
Macapa Internacional Airport,마카파 국제공항,MCP,SBMQ,중남미,Brazil,브라질,Macapa,마카파
Machangara Airport ,마챵가라 공항 ,PPN,SKPP,중남미,Colombia,콜롬비아,Popayan,포파얀
Machrihanish Airport,머크리하나쉬 공항,CAL,EGEC,유럽,United Kingdom,영국,Campbeltown,캠프타운
Mackay Airport,매카이 공항,MKY,YBMK,대양주,Australia,오스트레일리아,Mackay,맥케이
Macon Charnay Airport,마꽁 샤네이 공항,QNX,LFLM,유럽,France,프랑스,Macon / Charnay,마콘 / 샤르네
Mactan International Airport,막탄 국제공항,CEB,RPVM,아시아,Philippines,필리핀,Lapu-Lapu,라푸라푸
Madeira Airport ,마데이라 공항 ,FNC,LPMA,유럽,Portugal,포르투갈,Funchal,푼찰
Madera Municipal Airport,마데라 시공항,MAE,KMAE,중남미,Brazil,브라질,Sao Paulo,상파울루
Madrid Barajas Airport,마드리드 바라쟈스 공항,MAD,LEMD,유럽,Spain,스페인,Madrid,마드리드
Madurai Airport,마두라이 공항,IXM,VOMD,아시아,India,인도,Madurai,마두라이
Mae Hong Son Airport,매홍선 공항,HGN,VTCH,아시아,Thailand,태국,Mae Hong Son,매홍손
Mae Sot Airport,매 솟 공항,MAQ,VTPM,아시아,Thailand,태국,Mae Sot,매솟
Mafia Airport,마피아 공항,MFA,HTMA,아프리카,Tanzania,탄자니아,Mafia,마피아
Magaret Ekpo International Airport,매그렛 익포 국제공항,CBQ,DNCA,아프리카,Nigeria,나이지리아,Calabar,칼라바르
Magenta Airport,마젠타 공항,GEA,NWWM,대양주,New Caledonia,뉴칼레도니아,Noumea,누메아
Magnitogorsk Airport,마그니토고르스크 공항,MQF,USCM,유럽,Russia,러시아,Magnitogorsk,마그니토고르스크
Magong Airport,마공 공항,MZG,RCQC,아시아,Chinese Taipei,대만,Makung,마쿵
Maharana Pratap Airport ,마하나라 프라탑 공항 ,UDR,VAUD,아시아,India,인도,Udaipur,우다이푸르
Mahshahr Airport,머샤흐 공항,MRX,OIAM,중동,Iran,이란,Mahshahr,마샤르
Maiduguri International Airport,마이두구리 국제공항,MIU,DNMA,아프리카,Nigeria,나이지리아,Maiduguri,마이두구리
Major General FAP Armando Revoredo Iglesias Airport,메이저 제네랄 FAP 아르만도 로베레도 이글레시아스 공항,CJA,SPJR,중남미,Peru,페루,Cajamarca,카하마르카
Makemo Airport,마케모 공항,MKP,NTGM,대양주,French Plynesia,프랑스령폴리네시아,Makemo,마케모
Makurdi Air Force Base,마쿠르디 공군기지,MDI,DNMK,아프리카,Nigeria,나이지리아,Makurdi,마쿠르디
Mal. Cunha Machado Airport,말 쿤하 마체이도 공항,SLZ,SBSL,중남미,Brazil,브라질,Sao Luis,상루이스
Malad City Airport,말라드시티 공항,MLU,KMLU,북미,United States,미국,Monroe LA,먼로 LA
Malaga Airport,말라가 공항 ,AGP,LEMG,유럽,Spain,스페인,Malaga,말라가
Malatya Erhac Airport,말라티아 에르학 공항,MLX,LTAT,유럽,Turkey,터키,Malatya,말라티아
Malay Airport,말레이 공항,MPH,RPVE,아시아,Philippines,필리핀,Malay,말레이어
Male International Airport,메일 국제공항,MLE,VRMM,아시아,Maldives,몰디브,Male,남성
Mallam Aminu Kano International Airport,말람 아미뉴 카노 국제공항,KAN,DNKN,아프리카,Nigeria,나이지리아,Kano,카노
Malpensa Airport,말펜사 공항,MXP,LIMC,유럽,Italy,이탈리아,Milan,밀라노
Malta International Airport ,말타국제공항 ,MLA,LMML,유럽,Malta,몰타,Malta,몰타
Mambajao Airport,맘바자오 공항,CGM,RPMH,아시아,Philippines,필리핀,Mambajao,맘바자오
Mamburao Airport,맘부라오 공항,MBO,RPUM,아시아,Philippines,필리핀,Mamburao,맘부라오
Manas International Airport,만사스 국제공항,FRU,UAFM,아시아,Kyrgyzstan,키르기스스탄,Bishkek,비슈케크
Manchester International Airport,맨체스터 국제공항,MAN,EGCC,유럽,United Kingdom,영국,Manchester,맨체스터
Manchester-Boston Regional Airport ,맨체스터-보스톤 지역 공항,MHT,KMHT,북미,United States,미국,Manchester NH,맨체스터 NH
Mandelieu Airport,만델리 공항,CEQ,LFMD,유럽,France,프랑스,Cannes,칸
Mangshi Airport,망시 공항,LUM,ZPMS,아시아,China,중국,Dehong,더훙
Manihi Airport,머나이 공항,XMH,NTGI,대양주,French Plynesia,프랑스령폴리네시아,Manihi,마니히
Maningrida Airport,마닝그리다 공항,MNG,YMGD,대양주,Australia,오스트레일리아,Maningrida,마닝리다
Mano Dayak International Airport,마노다약 국제공항,AJY,DRZA,아프리카,Niger,니제르,Agades ,아가데스
Manzhouli Xijiao Airport,Manzhouli Xijiao 공항,NZH,ZBMZ,아시아,Macao,마카오,Manzhouli Xijao,만저우리시자오
Maota Savail Island Airport,마오타사바일아일랜드 공항,MXS,NSMA,대양주,Samoa,사모아,Maota Savaii,마오타 사바이
Maotal Airport,마오타이 공항,WMT,ZUMT,아시아,Macao,마카오,Zunyi,준이
Maputo International Airport,마푸토 국제공항,MPM,FQMA,아프리카,Mozambique,모잠비크,Maputo,마푸토
Maraba Airport,마라바 공항,MAB,SBMA,중남미,Brazil,브라질,Maraba,마라바
Maradi Airport,마라디 공항,MFQ,DRRM,아프리카,Niger,니제르,Maradi ,마라디
Marce Airport ,마르세 공항 ,ANE,LFJR,유럽,France,프랑스,Marce,마르세
Marcillac Airport,마실략 공항,RDZ,LFCR,유럽,France,프랑스,Rodez,로데스
Marco Polo International,마르코 폴로 국제공항,VCE,LIPZ,유럽,Italy,이탈리아,Venice,베네치아
Mardin Airport,마르딘 공항,MQM,LTCR,유럽,Turkey,터키,Mardin,마르딘
Marechal Rondon Airport,마레첼 론돈 공항,CGB,SBCY,중남미,Brazil,브라질,Cuiaba,쿠이아바
Maria Montez International Airport,마리아 몬테즈 국제공항,BRX,MDBH,중남미,Dominican Republic,도미니카공화국,BARAHONA,바라호나
Maria Reiche Neuman Airport,마리아 라이슈 노이만 공항,NZC,SPZA,중남미,Peru,페루,Nazca ,나스카
Maribor Airport,마리보르 공항,MBX,LJMB,유럽,Slovenia,슬로베니아,Maribor,마리보르
Maridor Airport,마리도 공항,MMD,ROMD,아시아,Japan,일본,Minamidaito,미나미다이토
Mariehamn Airport,메리함 공항,MHQ,EFMA,유럽,Finland,핀란드,Maarianhamina,마리아나해미나
Marina di Campo Airport,마리나 디 캄포 공항,EBA,LIRJ,유럽,Italy,이탈리아,Elba,엘바
Marinduque Airport,마링두케 공항,MRQ,RPUW,아시아,Philippines,필리핀,Gasan,가산
Maripasoula Airport,마리파슬라 공항,MPY,SOOA,중남미,French Guiana,프랑스령기아나,Maripasoula,마리파술라
Mariscal Lamar Airport,마리스칼 라마르 공항,CUE,SECU,중남미,Ecuador,에콰도르,Cuenca,쿠엥카
Mariscal Sucre International Airport,마리스칼 수쿠레 국제공항,UIO,SEQM,중남미,Ecuador,에콰도르,Quito,키토
Markovo Airport,마르코보 공항,KVM,UHMO,유럽,Russia,러시아,Markovo ,마르코보
Maroochydore Airport,마로카이도어 공항,MCY,YBSU,대양주,Australia,오스트레일리아,Maroochydore,마루치도르
Marsa Alam Airport,마사 알람 공항,RMF,HEMA,아프리카,Egypt,이집트,Marsa Alam,마르사 알람
Marudi Airport,마루디 공항,MUR,WBGM,아시아,Malaysia,말레이시아,Marudi ,마루디
Masbate Airport,마스바트 공항,MBT,RPVJ,아시아,Philippines,필리핀,Masbate,마스바테
Mashhad International Airport ,마슈하드 국제공항 ,MHD,OIMM,중동,Iran,이란,Mashhad,매쉬하드
Matacan Airport,마타칸 공항,SLM,LESA,유럽,Spain,스페인,Salamanca,살라망카
Mataiva Airport,마타이바 공항,MVT,NTGV,대양주,French Plynesia,프랑스령폴리네시아,Mataiva,마타이바
Mataveri International Airport,마타버리 국제공항,IPC,SCIP,중남미,Chile,칠레,Easter Island,이스터 섬
Matecana Airport,마테카나 공항,PEI,SKPE,중남미,Colombia,콜롬비아,Pereira,페레이라
Mather Airport,마더 공항,MHR,KMHR,북미,United States,미국,Sacramento CA,새크라멘토 CA
Mati Airport,마티 공항,DVO,RPMD,아시아,Philippines,필리핀,Davao,다바오
Matsapha International Airport,매츠파 국제공항,MTS,FDMS,아프리카,Eswatini,에스와티니,Manzini,만지니
Matsumoto Airport,마츠모토 공항,MMJ,RJAF,아시아,Japan,일본,Matsumoto,마츠모토
Matsuyama Airport,마츠야마 /마쯔야마 공항,MYJ,RJOM,아시아,Japan,일본,Matsuyama,마쓰야마
Matundo Airport,마툰도 공항,TET,FQTT,아프리카,Mozambique,모잠비크,Tete,테테
Maubeuge Elesmes Airport,모뵈주 엘레스메 공항,XME,LFQJ,유럽,France,프랑스,Maubeuge / Elesmes,마우베지 / 엘레스메스
Maun Airport,마운 공항,MUB,FBMN,아프리카,Botswana,보츠와나,Maun,마운
Maupertus Airport,모페르투스 공항,CER,LFRC,유럽,France,프랑스,Cherbourg,셰르부르 주
Maupiti Airport,모피티 공항,MAU,NTTP,대양주,French Plynesia,프랑스령폴리네시아,Maupiti,모피티
Maurice Bishop International Airport ,모리스 비숍 국제공항 ,GND,TGPY,중남미,Grenada,그라나다,St Georges,세인트조르주
Maya Maya Airport,마야 마야 공항,BZV,FCBB,아프리카,Democratic Republic of Congo,콩고 민주공화국,Brazzaville,브라자빌
Mayor Pnp Nancy Flore Airport,낸시 플로어 공항,MZA,SPMF,중남미,Peru,페루,Mazamari ,마자마리
Mazamet Airport,마자메 공항,DCM,LFCK,유럽,France,프랑스,Castres / Mazamet,카스트레스 / 마자메트
Mccarran International Airport,맥커란 국제공항,LAS,KLAS,북미,United States,미국,Las Vegas NV,라스베이거스 NV
McGhee Tyson Airport,맥기 타이슨 공항,TYS,KTYS,북미,United States,미국,Knoxville TN,녹스빌 TN
Meadows Field Airport,미도우즈 필드 공항,BFL,KBFL,북미,United States,미국,Bakersfield CA,베이커즈필드 CA
Mecheria Airport,메케리아 공항,MZW,DAAY,아프리카,Algeria,알제리,Mechria,메크리아
Medicine Hat Airport,메디슨햇 공항,YXH,CYXH,북미,Canada,캐나다,Medicine Hat AB,메디슨햇 AB
Medis Airport,메디 공항,RYN,LFCY,유럽,France,프랑스,Royan / Medis,로얀 / 메디스
Mediterranee Airport,메디테라니 공항,MPL,LFMT,유럽,France,프랑스,Montpellier,몽펠리에
Megeve Airport,메게베 공항,MVV,LFHM,유럽,France,프랑스,Megeve,메게브
Mehamn Airport,메함 공항,MEH,ENMH,유럽,Norway,노르웨이,Mehamn,메함
Mehrabad International Airport,메드라밧 국제공항,THR,OIII,중동,Iran,이란,Tehran,테헤란
Meixian Airport,메이시안 공항,MXZ,ZGMX,아시아,Macao,마카오,Meixian,메이셴
Melbourne International Airport,멜버른 국제공항,MLB,KMLB,북미,United States,미국,Melbourne FL,멜버른 FL
Melilla Airport,멜리야 공항,MLN,GEML,유럽,Spain,스페인,Melilla,멜리야
Melita Airport,멀리타 공항,DJE,DTTJ,아프리카,Tunisia,튀니지,Djerba,제르바
Memanbetsu Airport,메만베쓰 /메만베쯔 공항,MMB,RJCM,아시아,Japan,일본,Memanbetsu,메만베쓰
Memmingen Airport,멤밍겐 공항,FMM,EDJA,유럽,Germany,독일,Memmingerberg,메밍거베르크
Memphis International Airport,멤피스 국제공항,MEM,KMEM,북미,United States,미국,Memphis TN,멤피스 TN
Menara Airport,메나라 공항,RAK,GMMX,아프리카,Morocco,모로코,Marrakech,마라케흐
Menorca Airport,메노르카 공항,MAH,LEMH,유럽,Spain,스페인,Menorca,메노르카
Mercedita Airport,메르세디타 공항,PSE,TJPS,중남미,Puerto Rico,푸에르토리코,Ponce,폰세
Merimbula Airport,메림불라 공항,MIM,YMER,대양주,Australia,오스트레일리아,Merimbula,메림불라
Mersa Matruh Airport,메르사마트루 공항,MUH,HEMM,아프리카,Egypt,이집트,Mersa Matruh,메르사 마트루
Merville Calonne Airport,메르빌 칼론 공항,HZB,LFQT,유럽,France,프랑스,Merville / Calonne,머빌 / 칼론
metropolitan area2,메트로폴리탄에어리어,RIO,,중남미,Brazil,브라질,Rio De Janeiro,리우데자네이루
Metz Nancy Lorraine Airport,메스 낭시 로레인 공항,ETZ,LFJL,유럽,France,프랑스,Metz,메츠
Meucon Airport,뫼숑 공항,VNE,LFRV,유럽,France,프랑스,Vannes,반스
Mfuwe Airport,엠푸베 공항,MFU,FLMF,아프리카,Zambia,잠비아,Mfuwe,음푸웨
Miami International Airport,마이애미 국제공항,MIA,KMIA,북미,United States,미국,Miami FL,마이애미 FL
Mianyang Nanjiao Airport,면양 남경 공항,MIG,ZUMY,아시아,Macao,마카오,Mianyang,yang양
Miguel Hidalgo Airport,미구엘 히달고 공항,GDL,MMGL,중남미,Mexico,멕시코,Guadalajara,과달라하라
Miho Airport,미호 공항,YGJ,RJOH,아시아,Japan,일본,Yonago,요나고
Milas Airport,밀라스 공항,BJV,LTFE,유럽,Turkey,터키,Bodrum,보드룸
Mildura Airport,밀두라 공항,MQL,YMIA,대양주,Australia,오스트레일리아,Mildura,밀두라
